system:time_start;0;NPP8
May 25;2009;243.273
Jun 2;2009;277.028
Jun 10;2009;254.043
Jun 18;2009;282.337
Jun 26;2009;253.316
Jul 4;2009;268.098
Jul 12;2009;266.235
Jul 20;2009;231.397
Jul 28;2009;235.131
Aug 5;2009;313.290
Aug 13;2009;318.448
Aug 21;2009;245.973
Aug 29;2009;363.356
Sep 6;2009;333.349
Sep 14;2009;341.909
Sep 22;2009;325.287
Sep 30;2009;338.690
Oct 8;2009;295.350
Oct 16;2009;354.847
Oct 24;2009;404.514
Nov 1;2009;432.440
Nov 9;2009;377.867
Nov 17;2009;439.307
Nov 25;2009;380.120
Dec 3;2009;282.256
Dec 11;2009;338.949
Dec 19;2009;496.090
Dec 27;2009;168.170
Jan 1;2010;372.296
Jan 9;2010;355.302
Jan 17;2010;304.244
Jan 25;2010;362.370
Feb 2;2010;414.303
Feb 10;2010;414.616
Feb 18;2010;347.877
Feb 26;2010;313.277
Mar 6;2010;396.284
Mar 14;2010;301.079
Mar 22;2010;378.776
Mar 30;2010;293.747
Apr 7;2010;328.026
Apr 15;2010;376.476
Apr 23;2010;291.114
May 1;2010;334.298
May 9;2010;273.836
May 17;2010;258.708
May 25;2010;254.159
Jun 2;2010;264.081
Jun 10;2010;269.695
Jun 18;2010;260.538
Jun 26;2010;304.356
Jul 4;2010;275.260
Jul 12;2010;222.446
Jul 20;2010;314.291
Jul 28;2010;295.998
Aug 5;2010;289.249
Aug 13;2010;290.949
Aug 21;2010;331.912
Aug 29;2010;350.689
Sep 6;2010;343.071
Sep 14;2010;320.698
Sep 22;2010;286.360
Sep 30;2010;330.368
Oct 8;2010;393.422
Oct 16;2010;392.431
Oct 24;2010;439.682
Nov 1;2010;390.156
Nov 9;2010;314.084
Nov 17;2010;411.894
Nov 25;2010;389.127
Dec 3;2010;447.286
Dec 11;2010;406.284
Dec 19;2010;369.168
Dec 27;2010;254.339
Jan 1;2011;264.243
Jan 9;2011;351.685
Jan 17;2011;436.469
Jan 25;2011;503.820
Feb 2;2011;458.983
Feb 10;2011;416.777
Feb 18;2011;430.180
Feb 26;2011;304.234
Mar 6;2011;268.146
Mar 14;2011;418.131
Mar 22;2011;360.997
Mar 30;2011;335.395
Apr 7;2011;324.700
Apr 15;2011;396.926
Apr 23;2011;295.098
May 1;2011;343.443
May 9;2011;308.995
May 17;2011;301.661
May 25;2011;282.640
Jun 2;2011;263.133
Jun 10;2011;259.399
Jun 18;2011;284.725
Jun 26;2011;278.223
Jul 4;2011;232.822
Jul 12;2011;307.349
Jul 20;2011;279.359
Jul 28;2011;269.279
Aug 5;2011;316.259
Aug 13;2011;305.403
Aug 21;2011;296.796
Aug 29;2011;353.444
Sep 6;2011;357.056
Sep 14;2011;378.392
Sep 22;2011;366.778
Sep 30;2011;406.417
Oct 8;2011;359.839
Oct 15;2011;336.981
Oct 24;2011;432.301
Nov 1;2011;486.683
Nov 9;2011;417.612
Nov 17;2011;398.372
Nov 25;2011;310.619
Dec 3;2011;356.562
Dec 11;2011;374.321
Dec 19;2011;443.215
Dec 27;2011;291.514
Jan 1;2012;364.106
Jan 9;2012;391.046
Jan 17;2012;465.479
Jan 25;2012;413.473
Feb 2;2012;556.924
Feb 10;2012;443.429
Feb 18;2012;385.199
Feb 26;2012;449.113
Mar 5;2012;427.245
Mar 13;2012;377.371
Mar 21;2012;366.244
Mar 29;2012;346.264
Apr 6;2012;331.076
Apr 14;2012;363.060
Apr 22;2012;302.797
