system:time_start;0;;GPP
May;25;2009;474.284
Jun;2;2009;550.639
Jun;10;2009;471.426
Jun;18;2009;556.203
Jun;26;2009;493.303
Jul;4;2009;541.314
Jul;12;2009;533.698
Jul;20;2009;436.271
Jul;28;2009;477.092
Aug;5;2009;628.590
Aug;13;2009;637.152
Aug;21;2009;515.882
Aug;29;2009;745.242
Sep;6;2009;637.917
Sep;14;2009;701.938
Sep;22;2009;714.582
Sep;30;2009;697.118
Oct;8;2009;523.895
Oct;16;2009;702.294
Oct;24;2009;834.633
Nov;1;2009;882.762
Nov;9;2009;769.784
Nov;17;2009;911.693
Nov;25;2009;801.490
Dec;3;2009;617.800
Dec;11;2009;691.415
Dec;19;2009;1075.155
Dec;27;2009;359.436
Jan;1;2010;742.811
Jan;9;2010;626.844
Jan;17;2010;569.445
Jan;25;2010;719.476
Feb;2;2010;912.231
Feb;10;2010;876.279
Feb;18;2010;762.110
Feb;26;2010;657.938
Mar;6;2010;844.905
Mar;14;2010;663.218
Mar;22;2010;771.614
Mar;30;2010;628.508
Apr;7;2010;716.162
Apr;15;2010;771.584
Apr;23;2010;599.160
May;1;2010;691.025
May;9;2010;548.654
May;17;2010;518.175
May;25;2010;479.978
Jun;2;2010;498.100
Jun;10;2010;499.787
Jun;18;2010;509.411
Jun;26;2010;568.846
Jul;4;2010;472.950
Jul;12;2010;422.665
Jul;20;2010;597.175
Jul;28;2010;570.749
Aug;5;2010;560.124
Aug;13;2010;602.161
Aug;21;2010;667.417
Aug;29;2010;692.214
Sep;6;2010;686.678
Sep;14;2010;655.429
Sep;22;2010;573.269
Sep;30;2010;635.535
Oct;8;2010;835.513
Oct;16;2010;823.305
Oct;24;2010;927.093
Nov;1;2010;814.455
Nov;9;2010;676.960
Nov;17;2010;887.532
Nov;25;2010;770.930
Dec;3;2010;888.071
Dec;11;2010;862.216
Dec;19;2010;846.792
Dec;27;2010;573.796
Jan;1;2011;520.337
Jan;9;2011;679.021
Jan;17;2011;804.207
Jan;25;2011;984.652
Feb;2;2011;913.890
Feb;10;2011;761.266
Feb;18;2011;897.294
Feb;26;2011;638.868
Mar;6;2011;623.780
Mar;14;2011;878.794
Mar;22;2011;699.564
Mar;30;2011;563.969
Apr;7;2011;647.028
Apr;15;2011;737.469
Apr;23;2011;546.824
May;1;2011;633.139
May;9;2011;554.983
May;17;2011;567.446
May;25;2011;532.341
Jun;2;2011;518.413
Jun;10;2011;518.755
Jun;18;2011;528.043
Jun;26;2011;507.335
Jul;4;2011;429.682
Jul;12;2011;574.352
Jul;20;2011;524.657
Jul;28;2011;481.804
Aug;5;2011;591.321
Aug;13;2011;567.277
Aug;21;2011;537.907
Aug;29;2011;643.531
Sep;6;2011;695.623
Sep;14;2011;783.235
Sep;22;2011;780.062
Sep;30;2011;777.858
Oct;8;2011;698.216
Oct;15;2011;705.061
Oct;24;2011;857.977
Nov;1;2011;1008.519
Nov;9;2011;846.005
Nov;17;2011;849.190
Nov;25;2011;641.062
Dec;3;2011;710.851
Dec;11;2011;808.775
Dec;19;2011;945.007
Dec;27;2011;611.817
Jan;1;2012;733.776
Jan;9;2012;705.990
Jan;17;2012;790.591
Jan;25;2012;813.889
Feb;2;2012;1089.477
Feb;10;2012;865.664
Feb;18;2012;815.109
Feb;26;2012;895.717
Mar;5;2012;904.232
Mar;13;2012;814.260
Mar;21;2012;720.911
Mar;29;2012;680.739
Apr;6;2012;670.583
Apr;14;2012;698.192
Apr;22;2012;556.260
Apr;30;2012;579.161
May;8;2012;443.034
May;16;2012;564.374
May;24;2012;549.819
Jun;1;2012;402.634
Jun;9;2012;485.918
Jun;17;2012;416.274
Jun;25;2012;518.503
Jul;3;2012;485.398
Jul;11;2012;391.848
Jul;19;2012;596.027
Jul;27;2012;578.302
Aug;4;2012;646.482
Aug;12;2012;676.488
Aug;20;2012;756.534
Aug;28;2012;747.838
Sep;5;2012;726.479
Sep;13;2012;617.142
Sep;21;2012;639.641
Sep;29;2012;853.603
Oct;7;2012;819.272
Oct;15;2012;769.103
Oct;23;2012;688.598
Oct;31;2012;802.926
Nov;8;2012;661.185
Nov;16;2012;973.933
Nov;24;2012;864.163
Dec;2;2012;930.108
Dec;10;2012;718.287
Dec;18;2012;888.666
Dec;26;2012;551.333
Jan;1;2013;642.101
Jan;9;2013;503.076
Jan;17;2013;914.365
Jan;25;2013;735.582
Feb;2;2013;610.891
Feb;10;2013;593.209
Feb;18;2013;935.995
Feb;26;2013;705.713
Mar;6;2013;679.453
Mar;14;2013;574.025
Mar;22;2013;634.253
Mar;30;2013;684.935
Apr;7;2013;599.874
Apr;15;2013;743.940
Apr;23;2013;697.965
May;1;2013;645.286
May;9;2013;634.506
May;17;2013;479.011
May;25;2013;424.461
Jun;2;2013;523.326
Jun;10;2013;508.934
Jun;18;2013;496.620
Jun;26;2013;462.225
Jul;4;2013;546.396
Jul;12;2013;560.705
Jul;20;2013;392.437
Jul;28;2013;569.790
Aug;5;2013;566.643
Aug;13;2013;582.606
Aug;21;2013;672.350
Aug;29;2013;662.675
Sep;6;2013;847.255
Sep;14;2013;648.359
Sep;22;2013;757.127
Sep;30;2013;668.709
Oct;8;2013;818.280
