system:time_start;0;GPP
May 25;2009;491.180
Jun 2;2009;559.611
Jun 10;2009;513.133
Jun 18;2009;570.516
Jun 26;2009;511.782
Jul 4;2009;541.492
Jul 12;2009;537.838
Jul 20;2009;466.959
Jul 28;2009;474.588
Aug 5;2009;632.603
Aug 13;2009;643.296
Aug 21;2009;495.961
Aug 29;2009;733.539
Sep 6;2009;672.615
Sep 14;2009;688.638
Sep 22;2009;654.607
Sep 30;2009;681.789
Oct 8;2009;594.104
Oct 16;2009;715.149
Oct 24;2009;815.816
Nov 1;2009;872.051
Nov 9;2009;762.072
Nov 17;2009;886.144
Nov 25;2009;766.078
Dec 3;2009;569.274
Dec 11;2009;683.517
Dec 19;2009;1000.437
Dec 27;2009;339.022
Jan 1;2010;752.079
Jan 9;2010;717.708
Jan 17;2010;614.422
Jan 25;2010;730.981
Feb 2;2010;837.238
Feb 10;2010;837.460
Feb 18;2010;702.572
Feb 26;2010;632.486
Mar 6;2010;800.261
Mar 14;2010;606.511
Mar 22;2010;765.102
Mar 30;2010;593.292
Apr 7;2010;663.027
Apr 15;2010;760.818
Apr 23;2010;588.327
May 1;2010;675.443
May 9;2010;553.241
May 17;2010;521.969
May 25;2010;513.293
Jun 2;2010;533.531
Jun 10;2010;544.787
Jun 18;2010;526.420
Jun 26;2010;614.800
Jul 4;2010;556.217
Jul 12;2010;449.378
Jul 20;2010;635.054
Jul 28;2010;597.982
Aug 5;2010;584.483
Aug 13;2010;587.508
Aug 21;2010;670.623
Aug 29;2010;708.274
Sep 6;2010;693.020
Sep 14;2010;647.809
Sep 22;2010;577.872
Sep 30;2010;667.155
Oct 8;2010;794.481
Oct 16;2010;792.116
Oct 24;2010;887.575
Nov 1;2010;787.346
Nov 9;2010;634.022
Nov 17;2010;831.773
Nov 25;2010;785.855
Dec 3;2010;903.720
Dec 11;2010;821.442
Dec 19;2010;745.168
Dec 27;2010;513.306
Jan 1;2011;513.231
Jan 9;2011;682.587
Jan 17;2011;848.051
Jan 25;2011;979.055
Feb 2;2011;891.093
Feb 10;2011;810.010
Feb 18;2011;834.545
Feb 26;2011;590.150
Mar 6;2011;520.620
Mar 14;2011;810.716
Mar 22;2011;701.092
Mar 30;2011;652.294
Apr 7;2011;630.555
Apr 15;2011;772.032
Apr 23;2011;573.507
May 1;2011;667.949
May 9;2011;600.914
May 17;2011;586.558
May 25;2011;549.677
Jun 2;2011;511.676
Jun 10;2011;504.549
Jun 18;2011;554.213
Jun 26;2011;540.838
Jul 4;2011;453.137
Jul 12;2011;598.086
Jul 20;2011;543.657
Jul 28;2011;523.650
Aug 5;2011;615.101
Aug 13;2011;594.177
Aug 21;2011;576.725
Aug 29;2011;687.152
Sep 6;2011;693.579
Sep 14;2011;734.743
Sep 22;2011;711.731
Sep 30;2011;789.600
