system:time_start;0;;NPP8
May;25;2009;246.379
Jun;2;2009;286.011
Jun;10;2009;244.561
Jun;18;2009;289.476
Jun;26;2009;256.147
Jul;4;2009;281.347
Jul;12;2009;277.293
Jul;20;2009;226.127
Jul;28;2009;247.071
Aug;5;2009;326.218
Aug;13;2009;330.184
Aug;21;2009;267.402
Aug;29;2009;386.599
Sep;6;2009;330.405
Sep;14;2009;364.526
Sep;22;2009;371.125
Sep;30;2009;362.071
Oct;8;2009;272.720
Oct;16;2009;365.578
Oct;24;2009;434.199
Nov;1;2009;458.872
Nov;9;2009;399.626
Nov;17;2009;474.258
Nov;25;2009;417.323
Dec;3;2009;321.895
Dec;11;2009;360.198
Dec;19;2009;559.797
Dec;27;2009;186.484
Jan;1;2010;381.455
Jan;9;2010;321.935
Jan;17;2010;292.801
Jan;25;2010;370.793
Feb;2;2010;470.337
Feb;10;2010;451.343
Feb;18;2010;392.955
Feb;26;2010;339.923
Mar;6;2010;436.143
Mar;14;2010;342.466
Mar;22;2010;398.833
Mar;30;2010;324.310
Apr;7;2010;367.784
Apr;15;2010;398.623
Apr;23;2010;308.323
May;1;2010;356.743
May;9;2010;283.323
May;17;2010;267.626
May;25;2010;247.606
Jun;2;2010;257.264
Jun;10;2010;258.265
Jun;18;2010;262.878
Jun;26;2010;293.849
Jul;4;2010;243.645
Jul;12;2010;217.653
Jul;20;2010;307.482
Jul;28;2010;293.448
Aug;5;2010;288.265
Aug;13;2010;309.800
Aug;21;2010;343.115
Aug;29;2010;356.084
Sep;6;2010;353.464
Sep;14;2010;336.630
Sep;22;2010;293.636
Sep;30;2010;326.797
Oct;8;2010;430.054
Oct;16;2010;424.184
Oct;24;2010;477.198
Nov;1;2010;418.607
Nov;9;2010;348.333
Nov;17;2010;456.655
Nov;25;2010;397.217
Dec;3;2010;456.952
Dec;11;2010;442.918
Dec;19;2010;433.261
Dec;27;2010;293.768
Jan;1;2011;285.256
Jan;9;2011;372.017
Jan;17;2011;438.760
Jan;25;2011;539.540
Feb;2;2011;499.085
Feb;10;2011;415.405
Feb;18;2011;489.905
Feb;26;2011;349.521
Mar;6;2011;341.428
Mar;14;2011;480.959
Mar;22;2011;383.149
Mar;30;2011;309.388
Apr;7;2011;354.961
Apr;15;2011;403.857
Apr;23;2011;299.328
May;1;2011;347.049
May;9;2011;303.213
May;17;2011;311.156
May;25;2011;291.672
Jun;2;2011;283.957
Jun;10;2011;284.198
Jun;18;2011;289.475
Jun;26;2011;277.781
Jul;4;2011;234.773
Jul;12;2011;314.179
Jul;20;2011;286.838
Jul;28;2011;262.879
Aug;5;2011;322.935
Aug;13;2011;309.965
Aug;21;2011;293.890
Aug;29;2011;351.465
Sep;6;2011;379.746
Sep;14;2011;427.977
Sep;22;2011;425.671
Sep;30;2011;424.725
Oct;8;2011;381.368
Oct;15;2011;384.375
Oct;24;2011;469.420
Nov;1;2011;549.371
Nov;9;2011;462.732
Nov;17;2011;462.602
Nov;25;2011;349.448
Dec;3;2011;387.862
Dec;11;2011;441.538
Dec;19;2011;516.468
Dec;27;2011;335.184
Jan;1;2012;399.535
Jan;9;2012;383.680
Jan;17;2012;429.332
Jan;25;2012;441.868
Feb;2;2012;592.042
Feb;10;2012;469.478
Feb;18;2012;442.799
Feb;26;2012;486.509
Mar;5;2012;491.834
Mar;13;2012;442.154
Mar;21;2012;390.882
Mar;29;2012;369.947
Apr;6;2012;365.064
Apr;14;2012;379.512
Apr;22;2012;301.692
Apr;30;2012;315.001
May;8;2012;240.670
May;16;2012;306.823
May;24;2012;299.157
Jun;1;2012;218.964
Jun;9;2012;264.292
Jun;17;2012;225.669
Jun;25;2012;282.189
Jul;3;2012;264.281
Jul;11;2012;211.916
Jul;19;2012;323.622
Jul;27;2012;314.127
Aug;4;2012;350.896
Aug;12;2012;367.143
Aug;20;2012;410.697
Aug;28;2012;405.894
Sep;5;2012;393.979
Sep;13;2012;334.586
Sep;21;2012;346.611
Sep;29;2012;462.362
Oct;7;2012;444.246
Oct;15;2012;416.911
Oct;23;2012;373.951
Oct;31;2012;436.354
Nov;8;2012;359.708
Nov;16;2012;528.396
Nov;24;2012;468.747
Dec;2;2012;505.084
Dec;10;2012;390.241
Dec;18;2012;482.554
Dec;26;2012;299.512
Jan;1;2013;339.379
Jan;9;2013;265.879
Jan;17;2013;482.775
Jan;25;2013;388.686
Feb;2;2013;322.835
Feb;10;2013;314.698
Feb;18;2013;496.023
Feb;26;2013;374.565
Mar;6;2013;360.923
Mar;14;2013;304.647
Mar;22;2013;336.017
Mar;30;2013;363.695
Apr;7;2013;318.611
Apr;15;2013;394.272
Apr;23;2013;370.108
May;1;2013;342.364
May;9;2013;336.231
May;17;2013;253.331
May;25;2013;224.341
Jun;2;2013;277.518
Jun;10;2013;269.783
Jun;18;2013;263.048
Jun;26;2013;244.556
Jul;4;2013;289.502
Jul;12;2013;296.708
Jul;20;2013;207.455
Jul;28;2013;301.198
Aug;5;2013;299.837
Aug;13;2013;308.539
Aug;21;2013;355.956
Aug;29;2013;350.393
Sep;6;2013;448.738
Sep;14;2013;343.031
Sep;22;2013;398.732
Sep;30;2013;353.163
Oct;8;2013;432.419
Oct;16;2013;406.436
Oct;24;2013;418.704
Nov;1;2013;372.446
Nov;9;2013;503.472
Nov;17;2013;384.511
Nov;25;2013;373.310
Dec;3;2013;515.825
Dec;11;2013;489.514
Dec;19;2013;476.631
Dec;27;2013;253.798
Jan;1;2014;532.428
Jan;9;2014;505.080
Jan;17;2014;494.037
Jan;25;2014;483.036
Feb;2;2014;447.228
Feb;10;2014;366.146
Feb;18;2014;466.529
Feb;26;2014;405.624
Mar;6;2014;376.381
Mar;14;2014;389.501
Mar;22;2014;417.631
Mar;30;2014;389.365
Apr;7;2014;349.847
Apr;15;2014;301.246
Apr;23;2014;317.441
May;1;2014;339.618
May;9;2014;324.719
May;17;2014;245.456
May;25;2014;247.155
Jun;2;2014;266.223
Jun;10;2014;277.774
Jun;18;2014;253.436
Jun;26;2014;283.655
Jul;4;2014;260.742
Jul;12;2014;297.065
Jul;20;2014;248.164
Jul;28;2014;309.567
Aug;5;2014;316.047
Aug;13;2014;299.460
Aug;21;2014;319.020
Aug;29;2014;356.594
Sep;6;2014;412.677
Sep;14;2014;347.147
Sep;22;2014;379.061
Sep;30;2014;417.845
Oct;8;2014;444.281
